Month,Customer,Region,SalesChannel,CustomerSegment,Product,Category,Qty,Price,Cost,CompetitorPrice,PriceIncreaseHistory,PromotionFlag,Revenue,TotalCost,Profit,MarginPct
2025-03,Customer 16,West Indonesia,General Trade,Retailer,SKU 10,Dairy,140,50963,41622,52686,8%,Y,7134820,5827080,1307740,0.1833
2025-03,Customer 16,West Indonesia,Online,Retailer,SKU 05,Snack,874,14891,9920,15546,0%,N,13014734,8670080,4344654,0.3338
2025-03,Customer 17,West Indonesia,General Trade,Retailer,SKU 07,Snack,948,43573,36001,42233,0%,N,41307204,34128948,7178256,0.1738
2025-03,Customer 17,West Indonesia,General Trade,Retailer,SKU 13,Frozen,612,11204,8550,10974,8%,N,6856848,5232600,1624248,0.2369
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 18,Personal Care,1100,29013,23001,31462,0%,N,31914300,25301100,6613200,0.2072
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 08,Snack,503,28786,23852,30268,5%,N,14479358,11997556,2481802,0.1714
2025-03,Customer 17,West Indonesia,General Trade,Retailer,SKU 12,Dairy,989,8827,5585,9590,0%,N,8729903,5523565,3206338,0.3673
2025-03,Customer 17,West Indonesia,Online,Retailer,SKU 17,Personal Care,1080,27102,16821,25981,0%,N,29270160,18166680,11103480,0.3793
2025-03,Customer 17,West Indonesia,General Trade,Retailer,SKU 10,Dairy,271,48172,38473,45000,0%,N,13054612,10426183,2628429,0.2013
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 05,Snack,625,14907,9329,13717,0%,Y,9316875,5830625,3486250,0.3742
2025-03,Customer 17,West Indonesia,Online,Retailer,SKU 09,Dairy,1133,22606,15271,24740,0%,N,25612598,17302043,8310555,0.3245
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 04,Beverage,1167,18800,13919,19795,5%,N,21939600,16243473,5696127,0.2596
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 06,Snack,113,23429,18133,24617,5%,N,2647477,2049029,598448,0.226
2025-03,Customer 17,West Indonesia,Modern Trade,Retailer,SKU 11,Dairy,1103,9095,6666,8271,5%,N,10031785,7352598,2679187,0.2671
2025-03,Customer 18,West Indonesia,Modern Trade,Retailer,SKU 15,Frozen,257,42156,33786,39554,0%,N,10834092,8683002,2151090,0.1985
2025-03,Customer 18,West Indonesia,Modern Trade,Retailer,SKU 03,Beverage,390,43397,27375,39315,3%,Y,16924830,10676250,6248580,0.3692
2025-03,Customer 18,West Indonesia,General Trade,Retailer,SKU 09,Dairy,113,25036,21234,22785,5%,Y,2829068,2399442,429626,0.1519
2025-03,Customer 18,West Indonesia,General Trade,Retailer,SKU 12,Dairy,423,8359,6068,7997,5%,N,3535857,2566764,969093,0.2741
2025-03,Customer 18,West Indonesia,Modern Trade,Retailer,SKU 05,Snack,123,15319,11287,15756,5%,N,1884237,1388301,495936,0.2632
2025-03,Customer 18,West Indonesia,General Trade,Retailer,SKU 16,Frozen,380,46048,38751,47249,0%,N,17498240,14725380,2772860,0.1585
2025-03,Customer 18,West Indonesia,General Trade,Retailer,SKU 07,Snack,931,42098,27960,41929,0%,N,39193238,26030760,13162478,0.3358
2025-03,Customer 18,West Indonesia,Modern Trade,Retailer,SKU 08,Snack,486,29018,20041,31857,3%,Y,14102748,9739926,4362822,0.3094
2025-03,Customer 18,West Indonesia,Modern Trade,Retailer,SKU 19,Personal Care,1187,35640,29114,36407,0%,N,42304680,34558318,7746362,0.1831
2025-03,Customer 19,West Indonesia,General Trade,Distributor,SKU 06,Snack,1017,23350,17626,24645,3%,N,23746950,17925642,5821308,0.2451
2025-03,Customer 19,West Indonesia,Modern Trade,Distributor,SKU 19,Personal Care,723,34709,29371,35950,3%,Y,25094607,21235233,3859374,0.1538
2025-03,Customer 19,West Indonesia,General Trade,Distributor,SKU 02,Beverage,442,9392,7289,9468,0%,N,4151264,3221738,929526,0.2239
2025-03,Customer 19,West Indonesia,General Trade,Distributor,SKU 16,Frozen,532,47298,29628,47479,0%,N,25162536,15762096,9400440,0.3736
2025-03,Customer 19,West Indonesia,Modern Trade,Distributor,SKU 08,Snack,402,27942,20448,28438,0%,Y,11232684,8220096,3012588,0.2682
2025-03,Customer 19,West Indonesia,General Trade,Distributor,SKU 01,Beverage,694,24853,20139,25444,5%,N,17247982,13976466,3271516,0.1897
2025-03,Customer 19,West Indonesia,Modern Trade,Distributor,SKU 17,Personal Care,850,25256,19256,26823,0%,N,21467600,16367600,5100000,0.2376
2025-03,Customer 19,West Indonesia,Modern Trade,Distributor,SKU 18,Personal Care,697,29157,18431,30262,3%,N,20322429,12846407,7476022,0.3679
2025-03,Customer 19,West Indonesia,General Trade,Distributor,SKU 04,Beverage,75,19188,13932,19238,0%,N,1439100,1044900,394200,0.2739
2025-03,Customer 19,West Indonesia,Modern Trade,Distributor,SKU 07,Snack,736,42225,29914,42361,3%,N,31077600,22016704,9060896,0.2916
2025-03,Customer 20,Central Indonesia,Modern Trade,Retailer,SKU 07,Snack,185,44905,29114,40621,0%,N,8307425,5386090,2921335,0.3517
2025-03,Customer 20,Central Indonesia,Online,Retailer,SKU 02,Beverage,348,8158,4966,8607,5%,N,2838984,1728168,1110816,0.3913
2025-03,Customer 20,Central Indonesia,General Trade,Retailer,SKU 14,Frozen,486,12969,10076,12336,0%,N,6302934,4896936,1405998,0.2231
2025-03,Customer 20,Central Indonesia,General Trade,Retailer,SKU 06,Snack,273,26411,18874,26396,0%,Y,7210203,5152602,2057601,0.2854
2025-03,Customer 20,Central Indonesia,Modern Trade,Retailer,SKU 01,Beverage,521,23432,15378,23335,8%,N,12208072,8011938,4196134,0.3437
2025-03,Customer 20,Central Indonesia,General Trade,Retailer,SKU 09,Dairy,97,23536,16378,24245,0%,N,2282992,1588666,694326,0.3041
2025-03,Customer 20,Central Indonesia,Modern Trade,Retailer,SKU 11,Dairy,882,9431,6385,9586,5%,N,8318142,5631570,2686572,0.323
2025-03,Customer 20,Central Indonesia,Modern Trade,Retailer,SKU 19,Personal Care,543,33832,27670,32769,0%,Y,18370776,15024810,3345966,0.1821
2025-03,Customer 20,Central Indonesia,Online,Retailer,SKU 18,Personal Care,676,28730,19030,30529,5%,N,19421480,12864280,6557200,0.3376
2025-03,Customer 20,Central Indonesia,General Trade,Retailer,SKU 13,Frozen,784,10261,7020,11002,0%,Y,8044624,5503680,2540944,0.3159
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 03,Beverage,1210,46071,31532,48359,0%,N,55745910,38153720,17592190,0.3156
2025-03,Customer 21,East Indonesia,Modern Trade,Retailer,SKU 12,Dairy,161,8853,6924,9052,0%,N,1425333,1114764,310569,0.2179
2025-03,Customer 21,East Indonesia,Modern Trade,Retailer,SKU 19,Personal Care,988,35280,21914,33336,5%,N,34856640,21651032,13205608,0.3789
2025-03,Customer 21,East Indonesia,Modern Trade,Retailer,SKU 13,Frozen,139,10915,7506,10682,0%,Y,1517185,1043334,473851,0.3123
2025-03,Customer 21,East Indonesia,Modern Trade,Retailer,SKU 10,Dairy,1140,52932,33966,55891,5%,N,60342480,38721240,21621240,0.3583
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 11,Dairy,455,9073,6742,9718,0%,N,4128215,3067610,1060605,0.2569
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 07,Snack,711,42942,31217,45609,3%,N,30531762,22195287,8336475,0.273
2025-03,Customer 21,East Indonesia,Online,Retailer,SKU 20,Personal Care,659,14904,10806,16155,5%,Y,9821736,7121154,2700582,0.275
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 14,Frozen,408,12446,10427,12960,0%,N,5077968,4254216,823752,0.1622
2025-03,Customer 21,East Indonesia,Online,Retailer,SKU 16,Frozen,656,47798,37215,49762,0%,N,31355488,24413040,6942448,0.2214
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 06,Snack,60,23339,17122,22953,0%,N,1400340,1027320,373020,0.2664
2025-03,Customer 21,East Indonesia,General Trade,Retailer,SKU 18,Personal Care,264,26400,21383,28484,8%,Y,6969600,5645112,1324488,0.19
2025-03,Customer 22,West Indonesia,General Trade,Retailer,SKU 04,Beverage,625,19200,11707,17474,8%,N,12000000,7316875,4683125,0.3903
2025-03,Customer 22,West Indonesia,General Trade,Retailer,SKU 13,Frozen,777,10542,6739,10570,5%,N,8191134,5236203,2954931,0.3607
2025-03,Customer 22,West Indonesia,General Trade,Retailer,SKU 11,Dairy,561,9539,5992,8663,5%,N,5351379,3361512,1989867,0.3718
2025-03,Customer 22,West Indonesia,General Trade,Retailer,SKU 16,Frozen,922,43744,29818,39862,0%,Y,40331968,27492196,12839772,0.3184
2025-03,Customer 22,West Indonesia,Modern Trade,Retailer,SKU 12,Dairy,628,8682,5779,9010,0%,N,5452296,3629212,1823084,0.3344
2025-03,Customer 22,West Indonesia,Online,Retailer,SKU 06,Snack,320,25959,15705,26318,5%,N,8306880,5025600,3281280,0.395
2025-03,Customer 22,West Indonesia,Modern Trade,Retailer,SKU 10,Dairy,322,46028,35916,49249,5%,N,14821016,11564952,3256064,0.2197
2025-03,Customer 22,West Indonesia,Modern Trade,Retailer,SKU 17,Personal Care,123,25569,17626,26299,5%,N,3144987,2167998,976989,0.3106
2025-03,Customer 22,West Indonesia,Online,Retailer,SKU 07,Snack,398,47144,34902,47406,3%,N,18763312,13890996,4872316,0.2597
2025-03,Customer 22,West Indonesia,Modern Trade,Retailer,SKU 09,Dairy,484,24110,16223,26181,3%,Y,11669240,7851932,3817308,0.3271
2025-03,Customer 22,West Indonesia,General Trade,Retailer,SKU 14,Frozen,1135,13273,8274,13929,0%,N,15064855,9390990,5673865,0.3766
2025-03,Customer 22,West Indonesia,Online,Retailer,SKU 01,Beverage,395,24702,15695,25109,0%,Y,9757290,6199525,3557765,0.3646
2025-03,Customer 23,East Indonesia,Modern Trade,Key Account,SKU 14,Frozen,576,12751,9076,13909,8%,N,7344576,5227776,2116800,0.2882
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 20,Personal Care,1249,15388,9253,16628,0%,Y,19219612,11556997,7662615,0.3987
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 09,Dairy,663,24820,17762,23229,0%,N,16455660,11776206,4679454,0.2844
2025-03,Customer 23,East Indonesia,Online,Key Account,SKU 02,Beverage,988,8275,6276,7792,0%,N,8175700,6200688,1975012,0.2416
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 17,Personal Care,702,26280,16644,28854,0%,N,18448560,11684088,6764472,0.3667
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 06,Snack,973,25810,17438,24046,0%,N,25113130,16967174,8145956,0.3244
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 03,Beverage,547,46301,34320,50573,3%,N,25326647,18773040,6553607,0.2588
2025-03,Customer 23,East Indonesia,Modern Trade,Key Account,SKU 10,Dairy,668,49984,31086,52116,3%,N,33389312,20765448,12623864,0.3781
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 12,Dairy,351,9172,7430,8876,5%,N,3219372,2607930,611442,0.1899
2025-03,Customer 23,East Indonesia,Modern Trade,Key Account,SKU 19,Personal Care,882,35662,24376,34528,5%,N,31453884,21499632,9954252,0.3165
2025-03,Customer 23,East Indonesia,Online,Key Account,SKU 08,Snack,195,29748,18078,26850,0%,N,5800860,3525210,2275650,0.3923
2025-03,Customer 23,East Indonesia,General Trade,Key Account,SKU 07,Snack,366,48261,29250,48733,0%,N,17663526,10705500,6958026,0.3939
2025-03,Customer 24,Central Indonesia,Modern Trade,Retailer,SKU 13,Frozen,97,11007,7262,11260,0%,N,1067679,704414,363265,0.3402
2025-03,Customer 24,Central Indonesia,Online,Retailer,SKU 18,Personal Care,83,27839,18467,30099,0%,N,2310637,1532761,777876,0.3367
2025-03,Customer 24,Central Indonesia,General Trade,Retailer,SKU 16,Frozen,821,46522,36375,49841,0%,N,38194562,29863875,8330687,0.2181
2025-03,Customer 24,Central Indonesia,Modern Trade,Retailer,SKU 10,Dairy,1246,48244,33833,51270,0%,Y,60112024,42155918,17956106,0.2987
2025-03,Customer 24,Central Indonesia,General Trade,Retailer,SKU 04,Beverage,52,18381,15191,18274,0%,N,955812,789932,165880,0.1735
2025-03,Customer 24,Central Indonesia,Modern Trade,Retailer,SKU 14,Frozen,988,13694,11100,14697,8%,Y,13529672,10966800,2562872,0.1894
2025-03,Customer 24,Central Indonesia,General Trade,Retailer,SKU 02,Beverage,1084,9066,6006,9088,3%,Y,9827544,6510504,3317040,0.3375
2025-03,Customer 24,Central Indonesia,Modern Trade,Retailer,SKU 11,Dairy,933,9935,8151,9517,3%,Y,9269355,7604883,1664472,0.1796
2025-03,Customer 24,Central Indonesia,Modern Trade,Retailer,SKU 05,Snack,778,13845,11675,13418,0%,N,10771410,9083150,1688260,0.1567
2025-03,Customer 24,Central Indonesia,Online,Retailer,SKU 08,Snack,117,27718,23145,27914,3%,N,3243006,2707965,535041,0.165
2025-03,Customer 25,West Indonesia,General Trade,Retailer,SKU 09,Dairy,622,25363,19694,24133,3%,N,15775786,12249668,3526118,0.2235
2025-03,Customer 25,West Indonesia,General Trade,Retailer,SKU 20,Personal Care,371,15044,11880,13673,0%,N,5581324,4407480,1173844,0.2103
2025-03,Customer 25,West Indonesia,Online,Retailer,SKU 16,Frozen,576,46393,33544,45584,0%,N,26722368,19321344,7401024,0.277
2025-03,Customer 25,West Indonesia,Modern Trade,Retailer,SKU 14,Frozen,52,13543,10729,13469,0%,N,704236,557908,146328,0.2078
2025-03,Customer 25,West Indonesia,Modern Trade,Retailer,SKU 15,Frozen,464,49278,30029,47445,0%,N,22864992,13933456,8931536,0.3906
2025-03,Customer 25,West Indonesia,General Trade,Retailer,SKU 17,Personal Care,841,26682,17135,28118,0%,N,22439562,14410535,8029027,0.3578
2025-03,Customer 25,West Indonesia,Modern Trade,Retailer,SKU 05,Snack,992,14139,8883,15547,0%,N,14025888,8811936,5213952,0.3717
2025-03,Customer 25,West Indonesia,Modern Trade,Retailer,SKU 07,Snack,301,46213,38140,45116,3%,Y,13910113,11480140,2429973,0.1747
2025-03,Customer 25,West Indonesia,Modern Trade,Retailer,SKU 02,Beverage,566,9270,7099,8660,3%,Y,5246820,4018034,1228786,0.2342
2025-03,Customer 25,West Indonesia,General Trade,Retailer,SKU 13,Frozen,625,11090,8122,11825,0%,Y,6931250,5076250,1855000,0.2676
2025-03,Customer 25,West Indonesia,Online,Retailer,SKU 18,Personal Care,793,28153,18730,30393,0%,Y,22325329,14852890,7472439,0.3347
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 14,Frozen,331,13915,9925,14857,0%,N,4605865,3285175,1320690,0.2867
2025-03,Customer 26,West Indonesia,Online,Distributor,SKU 02,Beverage,798,9013,6669,9242,0%,N,7192374,5321862,1870512,0.2601
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 04,Beverage,570,18063,14090,16602,3%,N,10295910,8031300,2264610,0.22
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 10,Dairy,902,51611,32158,47032,5%,N,46553122,29006516,17546606,0.3769
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 18,Personal Care,823,26530,20408,26387,0%,N,21834190,16795784,5038406,0.2308
2025-03,Customer 26,West Indonesia,Modern Trade,Distributor,SKU 08,Snack,1141,28553,18915,29062,3%,N,32578973,21582015,10996958,0.3375
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 17,Personal Care,220,26902,17672,28548,3%,N,5918440,3887840,2030600,0.3431
2025-03,Customer 26,West Indonesia,Modern Trade,Distributor,SKU 16,Frozen,544,49410,30868,52919,8%,N,26879040,16792192,10086848,0.3753
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 06,Snack,519,23928,14601,23693,3%,Y,12418632,7577919,4840713,0.3898
2025-03,Customer 26,West Indonesia,Modern Trade,Distributor,SKU 12,Dairy,1156,8729,6788,8053,8%,N,10090724,7846928,2243796,0.2224
2025-03,Customer 26,West Indonesia,General Trade,Distributor,SKU 20,Personal Care,52,14069,9085,13584,0%,N,731588,472420,259168,0.3543
2025-03,Customer 26,West Indonesia,Online,Distributor,SKU 15,Frozen,589,49108,31548,44343,0%,N,28924612,18581772,10342840,0.3576
2025-03,Customer 26,West Indonesia,Modern Trade,Distributor,SKU 09,Dairy,202,22905,15122,23891,0%,Y,4626810,3054644,1572166,0.3398
2025-03,Customer 27,East Indonesia,General Trade,Key Account,SKU 16,Frozen,842,49926,35488,54679,8%,N,42037692,29880896,12156796,0.2892
2025-03,Customer 27,East Indonesia,General Trade,Key Account,SKU 06,Snack,128,23621,16775,25114,0%,N,3023488,2147200,876288,0.2898
2025-03,Customer 27,East Indonesia,Modern Trade,Key Account,SKU 05,Snack,830,14952,11230,14936,5%,N,12410160,9320900,3089260,0.2489
2025-03,Customer 27,East Indonesia,General Trade,Key Account,SKU 17,Personal Care,1113,24771,20892,24316,3%,N,27570123,23252796,4317327,0.1566
2025-03,Customer 27,East Indonesia,General Trade,Key Account,SKU 03,Beverage,1115,48571,36366,53324,8%,N,54156665,40548090,13608575,0.2513
2025-03,Customer 27,East Indonesia,Modern Trade,Key Account,SKU 08,Snack,389,28923,17355,31431,0%,N,11251047,6751095,4499952,0.4
2025-03,Customer 27,East Indonesia,General Trade,Key Account,SKU 12,Dairy,461,8863,6561,9378,0%,Y,4085843,3024621,1061222,0.2597
2025-03,Customer 27,East Indonesia,Modern Trade,Key Account,SKU 04,Beverage,315,20715,15220,19141,3%,N,6525225,4794300,1730925,0.2653
2025-03,Customer 28,Central Indonesia,General Trade,Distributor,SKU 07,Snack,70,42494,29964,41442,0%,N,2974580,2097480,877100,0.2949
2025-03,Customer 28,Central Indonesia,General Trade,Distributor,SKU 01,Beverage,415,22633,18197,22571,3%,N,9392695,7551755,1840940,0.196
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 19,Personal Care,720,35143,27503,32294,0%,Y,25302960,19802160,5500800,0.2174
2025-03,Customer 28,Central Indonesia,Online,Distributor,SKU 10,Dairy,1206,46920,32145,47140,0%,N,56585520,38766870,17818650,0.3149
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 18,Personal Care,982,27168,22232,26271,0%,N,26678976,21831824,4847152,0.1817
2025-03,Customer 28,Central Indonesia,General Trade,Distributor,SKU 13,Frozen,535,10863,8099,11008,0%,N,5811705,4332965,1478740,0.2544
2025-03,Customer 28,Central Indonesia,General Trade,Distributor,SKU 16,Frozen,69,44250,31044,43676,0%,N,3053250,2142036,911214,0.2984
2025-03,Customer 28,Central Indonesia,Online,Distributor,SKU 12,Dairy,328,9205,7780,9937,0%,N,3019240,2551840,467400,0.1548
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 14,Frozen,345,13444,9119,14071,0%,N,4638180,3146055,1492125,0.3217
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 20,Personal Care,859,13818,9471,14043,5%,N,11869662,8135589,3734073,0.3146
2025-03,Customer 28,Central Indonesia,General Trade,Distributor,SKU 08,Snack,847,30082,19575,31868,0%,N,25479454,16580025,8899429,0.3493
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 04,Beverage,886,18522,15323,16851,0%,Y,16410492,13576178,2834314,0.1727
2025-03,Customer 28,Central Indonesia,Modern Trade,Distributor,SKU 02,Beverage,999,8793,6780,9088,0%,Y,8784207,6773220,2010987,0.2289
2025-03,Customer 29,West Indonesia,General Trade,Distributor,SKU 15,Frozen,531,44829,33750,43416,0%,Y,23804199,17921250,5882949,0.2471
2025-03,Customer 29,West Indonesia,Modern Trade,Distributor,SKU 10,Dairy,796,52119,39730,47257,3%,Y,41486724,31625080,9861644,0.2377
2025-03,Customer 29,West Indonesia,Online,Distributor,SKU 12,Dairy,1021,8538,7206,8246,5%,N,8717298,7357326,1359972,0.156
2025-03,Customer 29,West Indonesia,Online,Distributor,SKU 19,Personal Care,798,39060,30000,38647,5%,N,31169880,23940000,7229880,0.232
2025-03,Customer 29,West Indonesia,General Trade,Distributor,SKU 02,Beverage,1191,8889,7192,9699,0%,N,10586799,8565672,2021127,0.1909
2025-03,Customer 29,West Indonesia,Modern Trade,Distributor,SKU 03,Beverage,194,46259,30533,47056,8%,N,8974246,5923402,3050844,0.34
2025-03,Customer 29,West Indonesia,Online,Distributor,SKU 13,Frozen,484,10923,8237,11228,8%,N,5286732,3986708,1300024,0.2459
2025-03,Customer 29,West Indonesia,Modern Trade,Distributor,SKU 06,Snack,375,23174,14900,21345,0%,Y,8690250,5587500,3102750,0.357
2025-03,Customer 29,West Indonesia,General Trade,Distributor,SKU 11,Dairy,594,9593,5911,8875,5%,N,5698242,3511134,2187108,0.3838
2025-03,Customer 29,West Indonesia,Modern Trade,Distributor,SKU 05,Snack,650,13528,9566,13707,0%,N,8793200,6217900,2575300,0.2929
2025-03,Customer 29,West Indonesia,General Trade,Distributor,SKU 14,Frozen,1078,13281,9504,14135,0%,N,14316918,10245312,4071606,0.2844
2025-03,Customer 29,West Indonesia,Modern Trade,Distributor,SKU 09,Dairy,308,22148,18160,23172,0%,N,6821584,5593280,1228304,0.1801
2025-03,Customer 29,West Indonesia,Online,Distributor,SKU 07,Snack,907,47580,29134,48040,0%,Y,43155060,26424538,16730522,0.3877
2025-03,Customer 29,West Indonesia,General Trade,Distributor,SKU 17,Personal Care,296,27172,19499,29887,0%,N,8042912,5771704,2271208,0.2824
2025-03,Customer 30,West Indonesia,Modern Trade,Distributor,SKU 10,Dairy,730,46944,34920,47084,3%,Y,34269120,25491600,8777520,0.2561
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 11,Dairy,731,10195,7550,10609,0%,N,7452545,5519050,1933495,0.2594
2025-03,Customer 30,West Indonesia,Online,Distributor,SKU 17,Personal Care,299,26001,16183,27122,3%,N,7774299,4838717,2935582,0.3776
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 14,Frozen,959,13008,8700,12661,5%,N,12474672,8343300,4131372,0.3312
2025-03,Customer 30,West Indonesia,Modern Trade,Distributor,SKU 08,Snack,448,30146,21512,27153,0%,N,13505408,9637376,3868032,0.2864
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 18,Personal Care,839,29977,23774,32706,0%,N,25150703,19946386,5204317,0.2069
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 19,Personal Care,964,38223,24365,36339,0%,N,36846972,23487860,13359112,0.3626
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 13,Frozen,713,10905,7274,9817,0%,N,7775265,5186362,2588903,0.333
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 03,Beverage,62,42806,28532,42120,0%,Y,2653972,1768984,884988,0.3335
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 15,Frozen,267,44133,28761,43393,3%,Y,11783511,7679187,4104324,0.3483
2025-03,Customer 30,West Indonesia,Modern Trade,Distributor,SKU 07,Snack,1034,48700,32990,46542,3%,N,50355800,34111660,16244140,0.3226
2025-03,Customer 30,West Indonesia,Modern Trade,Distributor,SKU 01,Beverage,510,22430,17062,24479,8%,N,11439300,8701620,2737680,0.2393
2025-03,Customer 30,West Indonesia,Online,Distributor,SKU 16,Frozen,627,45454,36403,43205,0%,N,28499658,22824681,5674977,0.1991
2025-03,Customer 30,West Indonesia,Modern Trade,Distributor,SKU 09,Dairy,936,25806,16100,23513,8%,Y,24154416,15069600,9084816,0.3761
2025-03,Customer 30,West Indonesia,General Trade,Distributor,SKU 20,Personal Care,1047,14867,9236,15323,0%,N,15565749,9670092,5895657,0.3788
2025-04,Customer 01,East Indonesia,Modern Trade,Retailer,SKU 17,Personal Care,694,24218,16444,23294,8%,N,16807292,11412136,5395156,0.321
2025-04,Customer 01,East Indonesia,Modern Trade,Retailer,SKU 20,Personal Care,752,14835,11819,14420,8%,N,11155920,8887888,2268032,0.2033
2025-04,Customer 01,East Indonesia,General Trade,Retailer,SKU 03,Beverage,588,47278,36789,45569,8%,N,27799464,21631932,6167532,0.2219
2025-04,Customer 01,East Indonesia,Modern Trade,Retailer,SKU 02,Beverage,864,8524,5874,8505,3%,N,7364736,5075136,2289600,0.3109
2025-04,Customer 01,East Indonesia,General Trade,Retailer,SKU 06,Snack,72,24800,19205,24262,8%,N,1785600,1382760,402840,0.2256
2025-04,Customer 01,East Indonesia,General Trade,Retailer,SKU 14,Frozen,677,12284,9081,12385,0%,N,8316268,6147837,2168431,0.2607
2025-04,Customer 01,East Indonesia,General Trade,Retailer,SKU 01,Beverage,620,24686,18895,22847,3%,N,15305320,11714900,3590420,0.2346
2025-04,Customer 01,East Indonesia,General Trade,Retailer,SKU 18,Personal Care,576,29172,23356,26928,8%,N,16803072,13453056,3350016,0.1994
2025-04,Customer 02,Central Indonesia,Online,Retailer,SKU 02,Beverage,236,8597,5592,8500,0%,Y,2028892,1319712,709180,0.3495
2025-04,Customer 02,Central Indonesia,Modern Trade,Retailer,SKU 08,Snack,279,27899,21465,27031,0%,Y,7783821,5988735,1795086,0.2306
2025-04,Customer 02,Central Indonesia,General Trade,Retailer,SKU 03,Beverage,173,49001,32114,48710,5%,N,8477173,5555722,2921451,0.3446
2025-04,Customer 02,Central Indonesia,Modern Trade,Retailer,SKU 06,Snack,61,25528,20724,25032,3%,N,1557208,1264164,293044,0.1882
2025-04,Customer 02,Central Indonesia,General Trade,Retailer,SKU 18,Personal Care,365,27900,19165,28767,3%,N,10183500,6995225,3188275,0.3131
2025-04,Customer 02,Central Indonesia,Modern Trade,Retailer,SKU 01,Beverage,1061,22480,16025,23322,3%,N,23851280,17002525,6848755,0.2871
2025-04,Customer 02,Central Indonesia,Modern Trade,Retailer,SKU 16,Frozen,682,46203,31525,46864,0%,N,31510446,21500050,10010396,0.3177
2025-04,Customer 02,Central Indonesia,Modern Trade,Retailer,SKU 13,Frozen,514,11198,6992,10438,0%,N,5755772,3593888,2161884,0.3756
2025-04,Customer 02,Central Indonesia,General Trade,Retailer,SKU 05,Snack,788,15060,9112,14388,0%,N,11867280,7180256,4687024,0.395
2025-04,Customer 02,Central Indonesia,Online,Retailer,SKU 09,Dairy,311,23897,15772,24100,5%,N,7431967,4905092,2526875,0.34
2025-04,Customer 03,Central Indonesia,General Trade,Key Account,SKU 06,Snack,89,24503,16097,23873,0%,N,2180767,1432633,748134,0.3431
2025-04,Customer 03,Central Indonesia,Modern Trade,Key Account,SKU 07,Snack,503,42704,35021,41953,0%,Y,21480112,17615563,3864549,0.1799
2025-04,Customer 03,Central Indonesia,Modern Trade,Key Account,SKU 20,Personal Care,301,15457,9324,15932,0%,Y,4652557,2806524,1846033,0.3968
2025-04,Customer 03,Central Indonesia,Modern Trade,Key Account,SKU 14,Frozen,72,12535,9080,11432,0%,N,902520,653760,248760,0.2756
2025-04,Customer 03,Central Indonesia,Online,Key Account,SKU 13,Frozen,689,10264,8479,11264,0%,N,7071896,5842031,1229865,0.1739
2025-04,Customer 03,Central Indonesia,Modern Trade,Key Account,SKU 02,Beverage,74,8741,6661,8926,0%,N,646834,492914,153920,0.238
2025-04,Customer 03,Central Indonesia,General Trade,Key Account,SKU 12,Dairy,386,8437,5087,8615,3%,N,3256682,1963582,1293100,0.3971
2025-04,Customer 03,Central Indonesia,Modern Trade,Key Account,SKU 01,Beverage,989,23473,16780,24071,3%,N,23214797,16595420,6619377,0.2851
2025-04,Customer 03,Central Indonesia,General Trade,Key Account,SKU 09,Dairy,151,24039,18894,21961,5%,N,3629889,2852994,776895,0.214
2025-04,Customer 03,Central Indonesia,General Trade,Key Account,SKU 04,Beverage,104,19954,16127,21337,0%,Y,2075216,1677208,398008,0.1918
